Brand,Processor_brand,RAM_GB,RAM_type,Storage_capacity_GB,Graphics_brand,Display_size_inches
HP,AMD,8,DDR4,512,AMD,15.6
Asus,Intel,16,DDR4,512,NVIDIA,16
Asus,Intel,8,DDR4,512,NVIDIA,17.3
Acer,Intel,8,DDR4,512,Intel,14
HP,AMD,16,LPDDR5,512,AMD,15.6
HP,Intel,16,DDR4,1000,Intel,15.6
HP,Intel,8,DDR4,512,Intel,15.6
HP,AMD,8,DDR4,512,NVIDIA,15.6
Acer,Intel,16,DDR5,512,NVIDIA,16
Dell,AMD,8,DDR4,512,AMD,14
MSI,Intel,8,DDR5,512,NVIDIA,15.6
HP,AMD,8,LPDDR5,512,AMD,15.6
HP,Intel,16,DDR4,512,NVIDIA,15.6
Asus,Intel,16,LPDDR5,512,Intel,14
Asus,Intel,16,LPDDR5,1000,Intel,15.6
Asus,Intel,16,DDR4,512,Intel,15.6
Asus,AMD,8,DDR4,512,AMD,14
Lenovo,Intel,8,DDR4,256,Intel,15.6
Acer,Intel,8,DDR4,512,Intel,14
Honor,Intel,16,DDR4,512,Intel,14
Lenovo,Intel,8,DDR4,512,Intel,15.6
HP,AMD,8,LPDDR5,512,AMD,15.6
Dell,AMD,16,DDR4,512,AMD,14
Lenovo,Intel,8,DDR4,512,Intel,14
MSI,Intel,8,DDR4,512,Intel,14
MSI,Intel,8,DDR4,512,Intel,14
Acer,Intel,8,LPDDR5,512,Intel,15.6
MSI,Intel,32,LPDDR5,1000,NVIDIA,16
MSI,Intel,16,DDR4,512,Intel,14
MSI,Intel,8,DDR4,512,Intel,14
Asus,AMD,8,LPDDR5,512,AMD,15.6
Asus,AMD,16,LPDDR5,512,AMD,15.6
Asus,AMD,8,LPDDR5,512,AMD,15.6
HP,AMD,16,DDR4,512,NVIDIA,15.6
Lenovo,AMD,8,DDR4,512,AMD,15.6
Lenovo,AMD,16,DDR4,512,AMD,15.6
Lenovo,AMD,8,LPDDR5,512,AMD,15.6
Samsung,Intel,16,LPDDR5,512,Intel,14
Samsung,Intel,16,LPDDR5,512,Intel,14
Samsung,Intel,16,LPDDR4X,1000,Intel,15.6
Samsung,Intel,16,LPDDR4X,512,Intel,15.6
HP,AMD,8,DDR4,512,AMD,14
Asus,Intel,8,DDR4,512,Intel,15.6
HP,AMD,8,DDR4,512,AMD,15.6
HP,Intel,8,DDR4,512,Intel,15.6
HP,Intel,16,DDR4,512,Intel,14
Samsung,Intel,8,LPDDR4X,512,Intel,15.6
Lenovo,Intel,8,DDR4,512,NVIDIA,15.6
HP,AMD,8,DDR4,512,AMD,15.6
Dell,Intel,8,DDR4,512,Intel,15.6
Dell,Intel,16,DDR4,512,Intel,14
HP,Intel,16,LPDDR4X,512,Intel,13.4
Dell,Intel,8,DDR4,512,Intel,14
Microsoft,Intel,16,LPDDR5,256,Intel,13
Microsoft,Intel,32,LPDDR5,1000,Intel,13
Microsoft,Intel,8,LPDDR5,128,Intel,13
Dell,AMD,16,DDR5,512,NVIDIA,15.6
Microsoft,Intel,8,LPDDR5,256,Intel,13
Lenovo,AMD,16,DDR4,512,AMD,14
Dell,Intel,8,DDR4,512,Intel,15.6
Dell,Intel,16,DDR5,512,Intel,13.3
HP,Intel,8,LPDDR4X,512,Intel,13.3
Lenovo,AMD,8,DDR4,512,AMD,15.6
Lenovo,Intel,8,DDR4,256,Intel,14.1
Acer,AMD,8,DDR4,256,AMD,14
HP,AMD,16,DDR4,512,NVIDIA,16.1
MSI,Intel,8,DDR4,512,NVIDIA,15.6
HP,Intel,16,DDR4,512,Intel,15.6
HP,Intel,8,DDR4,512,NVIDIA,15.6
HP,Intel,8,DDR4,512,Intel,15.6
HP,AMD,16,DDR4,512,AMD,15.6
HP,Intel,8,DDR4,512,NVIDIA,15.6
Dell,AMD,16,DDR5,512,NVIDIA,15.6
